mountain,rating,color
Silverton,22.3,royalblue
Suicide Six,16.1,green
Mowhawk,14.7,green
Mad River Glen,14.4,green
Burke,13.6,green
Alyeska,13.5,green
Cochran's,13.0,green
Taos,12.9,green
Magic,12.5,green
Wildcat,12.2,green
Bromley,12.0,green
Powder Mountain,11.6,green
Waterville Valley,11.4,green
Purgatory,11.2,green
Nashoba Valley,11.1,green
Schweitzer,10.9,green
Smuggler's Notch,10.8,green
Andes Tower Hills,10.7,green
Palisades Tahoe,10.6,green
Jackson Hole,10.5,green
Loon,10.5,green
Wachusett,10.3,green
Mount Rose,10.2,green
Telluride,10.1,green
Mount Bohemia,10.1,green
Jay Peak,9.9,green
Holiday Valley,9.5,green
Attitash,9.4,green
Stowe,9.3,green
Whiteface,9.1,green
Sugarbush,9.0,green
Pat's Peak,9.0,green
Okemo,8.6,green
Crested Butte,8.6,green
Sugarloaf,8.5,green
Mount Snow,8.5,green
Cannon,8.4,green
Bolton Valley,8.4,green
Pico,8.3,green
Whitefish,8.2,green
Palisades Tahoe Alpine,8.1,green
Vail,8.1,green
Sunday River,7.9,green
Angel Fire,7.9,green
Killington,7.6,green
Stratton,7.6,green
Big Sky,7.6,green
Bretton Woods,7.4,green
Alta & Snowbird,7.4,green
Bristol,7.199999999999999,green
Saddleback,7.1,green
